BHK,Rent,Size,Super Area,Carpet Area,Built Area,Mumbai,Chennai,Bangalore,Hyderabad,Delhi,Kolkata,Semi-Furnished,Unfurnished,Furnished,Bachelors/Family,Bachelors,Family,Bathroom
2,9.433483923290392,7.003065458786462,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2
2,9.392661928770137,4.007333185232471,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2
1,8.779557455883728,5.857933154483459,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
2,9.210340371976184,7.170119543449628,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2
2,9.615805480084347,6.620073206530356,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
1,9.392661928770137,6.214608098422191,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
3,10.043249494911286,7.438383530044307,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3
2,9.798127036878302,6.745236349484363,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2
2,9.210340371976184,6.856461984594587,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2
1,10.165851817003619,5.991464547107982,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1
2,9.852194258148577,7.2078598714324755,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,2
4,10.341742483467284,7.783224016336037,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4
2,9.392661928770137,6.856461984594587,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2,10.691944912900398,6.779921907472252,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2
2,11.461632170582678,6.620073206530356,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,2
1,9.210340371976184,6.218600119691729,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
2,9.615805480084347,7.003065458786462,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,2
1,10.126631103850338,6.163314804034641,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2
1,9.615805480084347,6.396929655216146,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1
1,8.612503371220562,3.4011973816621555,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1
2,10.341742483467284,7.090076835776092,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,2
2,8.987196820661973,6.684611727667927,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2
1,9.104979856318357,4.174387269895637,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
3,9.615805480084347,2.302585092994046,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,3
2,11.350406535472453,6.802394763324311,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2
2,10.126631103850338,7.1308988302963465,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2
3,10.308952660644293,6.907755278982137,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,2
3,10.165851817003619,7.025538314638521,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2
1,9.798127036878302,6.476972362889683,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1
2,11.350406535472453,6.76849321164863,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,2
3,9.392661928770137,7.150701457592526,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2
3,9.798127036878302,7.27931883541462,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3
1,9.210340371976184,6.214608098422191,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
3,9.903487552536127,7.600902459542082,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,3
2,9.798127036878302,6.782192056006791,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2
4,12.429216196844383,7.649692623711514,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,4
2,9.615805480084347,7.170119543449628,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2
1,9.104979856318357,6.7912214627261855,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1
3,12.100712129872347,7.824046010856292,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,3
2,8.922658299524402,6.802394763324311,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2,9.210340371976184,6.684611727667927,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,2
2,9.392661928770137,4.219507705176107,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
2,9.433483923290392,6.620073206530356,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,2
3,10.463074768634808,7.24422751560335,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,3
2,10.819778284410283,6.620073206530356,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,2
1,9.798127036878302,5.991464547107982,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1
2,9.392661928770137,6.856461984594587,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2
2,9.104979856318357,5.991464547107982,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,2
1,8.699514748210191,5.703782474656201,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1
